ModelName,Feature,Importance,SHAP
xgb0,FirstLetterName_T,0.005034145899116993,0.012690337374806404
xgb0,FirstLetterName_U,0.001784441526979208,0.00027591409161686897
xgb0,FirstLetterName_Unknown,0.04501969367265701,0.5150099396705627
xgb0,FirstLetterName_V,0.0020317398011684418,0.001208772649988532
xgb0,FirstLetterName_W,0.006295838858932257,0.004361023660749197
xgb0,FirstLetterName_X,0.004016862716525793,0.0006222054362297058
xgb0,FirstLetterName_Y,0.003542495658621192,0.0009415554231964052
xgb0,FirstLetterName_Z,0.0057974401861429214,0.0017013446195051074
xgb0,NameLengthBin_long,0.003482558997347951,0.015680264681577682
xgb0,NameLengthBin_med,0.0034909590613096952,0.028845306485891342
xgb0,NameLengthBin_short,0.004749753512442112,0.007937428541481495
